Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
520,Miguel Rojas,34,LAD,NL,70,244,221,28,50,11,0,0,11,7,1,18,30,0.226,0.287,0.276,0.563,53,61,4,2,0,3,0
521,Jordan Romano,30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,JoJo Romero,26,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Brent Rooker,28,OAK,AL,83,319,276,33,66,13,1,16,44,2,0,33,101,0.239,0.332,0.467,0.8,127,129,10,7,0,3,1
524,Ben Rortvedt,25,NYY,AL,6,12,10,2,2,1,0,0,0,0,0,2,3,0.2,0.333,0.3,0.633,79,3,0,0,0,0,0
525,Amed Rosario,27,CLE,AL,91,403,376,49,98,17,5,3,40,9,0,22,76,0.261,0.303,0.356,0.659,85,134,10,2,0,3,0
526,Eddie Rosario,31,ATL,NL,85,313,291,39,73,15,2,15,44,1,3,21,78,0.251,0.3,0.471,0.771,102,137,7,0,0,1,1
527,Michael Rucker,29,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Darin Ruf,36,TOT,NL,20,57,49,3,11,3,0,0,3,0,0,8,16,0.224,0.333,0.286,0.619,73,14,0,0,0,0,0
529,Darin Ruf,36,SFG,NL,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.37,0.348,0.718,100,8,0,0,0,0,0
530,Darin Ruf,36,MIL,NL,11,30,26,2,5,1,0,0,0,0,0,4,7,0.192,0.3,0.231,0.531,49,6,0,0,0,0,0
531,Esteury Ruiz,24,OAK,AL,85,369,334,33,86,19,1,1,35,43,8,14,68,0.257,0.31,0.329,0.64,85,110,4,12,3,1,1
532,José Ruiz,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,José Ruiz,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,Keibert Ruiz#,24,WSN,NL,80,333,307,29,75,14,0,11,37,1,1,20,31,0.244,0.3,0.397,0.698,95,122,11,5,0,1,0
535,Adley Rutschman#,25,BAL,AL,94,417,355,48,96,16,0,13,42,0,1,60,64,0.27,0.374,0.425,0.799,125,151,8,0,0,2,5
536,Blake Sabol,25,SFG,NL,74,247,225,29,57,8,0,11,35,2,2,16,85,0.253,0.309,0.436,0.744,102,98,4,3,1,2,0
537,César Salazar,27,HOU,AL,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,2,1,0,0,0,0
538,Gary Sánchez,30,TOT,NL,45,158,141,20,27,4,0,9,24,0,0,14,38,0.191,0.266,0.411,0.677,87,58,2,1,0,2,0
539,Gary Sánchez,30,NYM,NL,3,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.143,0.167,0.31,-14,1,0,0,0,1,0
540,Gary Sánchez,30,SDP,NL,42,151,135,20,26,4,0,9,23,0,0,14,35,0.193,0.272,0.422,0.694,92,57,2,1,0,1,0
541,Jesús Sánchez,25,MIA,NL,69,225,207,26,54,16,0,10,35,3,0,17,61,0.261,0.32,0.483,0.803,117,100,8,1,0,0,0
542,Cole Sands,25,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543,Carlos Santana#,37,PIT,NL,90,375,329,41,75,23,0,9,46,6,0,43,68,0.228,0.315,0.38,0.695,89,125,3,0,0,3,0
544,Anthony Santander#,28,BAL,AL,94,403,358,51,95,25,1,17,54,3,1,38,91,0.265,0.34,0.483,0.823,128,173,5,4,0,3,1
545,Tony Santillan,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Tayler Saucedo,30,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Josh Sborz,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
548,Casey Schmitt,24,SFG,NL,59,194,181,20,39,10,0,2,22,2,1,9,45,0.215,0.263,0.304,0.567,56,55,6,3,0,1,0
549,Jonathan Schoop,31,DET,AL,55,151,136,15,29,8,0,0,7,0,0,13,37,0.213,0.278,0.272,0.55,56,37,6,0,0,2,0
550,John Schreiber,29,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Kyle Schwarber,30,PHI,NL,98,436,368,56,68,12,1,26,60,0,1,63,130,0.185,0.31,0.435,0.744,102,160,3,4,0,1,3
552,Tayler Scott,31,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,Tayler Scott,31,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Tayler Scott,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Tayler Scott,31,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,Corey Seager,29,TEX,AL,66,298,263,47,92,29,0,15,58,1,1,30,52,0.35,0.413,0.631,1.044,182,166,4,1,0,4,2
557,Jean Segura,33,MIA,NL,79,303,278,23,62,5,2,2,19,6,2,22,45,0.223,0.285,0.277,0.562,56,77,12,2,1,0,1
558,Marcus Semien,32,TEX,AL,99,463,412,78,112,27,2,14,60,9,1,44,62,0.272,0.34,0.449,0.789,115,185,2,1,0,5,1
559,Nick Senzel,28,CIN,NL,67,232,206,30,48,8,0,7,34,5,2,23,50,0.233,0.31,0.374,0.684,81,77,5,1,0,2,0
560,Brian Serven,28,COL,NL,11,23,23,0,3,1,0,0,1,0,0,0,10,0.13,0.13,0.174,0.304,-22,4,0,0,0,0,0
561,Paul Sewald,33,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,Gavin Sheets,27,CHW,AL,73,217,194,17,42,4,0,8,26,0,0,20,40,0.216,0.29,0.361,0.651,79,70,3,1,0,2,2
563,Braden Shewmake,25,ATL,NL,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
564,Zack Short,28,DET,AL,62,150,135,10,27,4,0,4,20,1,0,14,38,0.2,0.273,0.319,0.592,65,43,1,0,0,1,0
565,Lucas Sims,29,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Jon Singleton,31,MIL,NL,11,32,29,3,3,1,0,0,2,0,0,3,11,0.103,0.188,0.138,0.325,-8,4,0,0,0,0,0
567,Jose Siri,27,TBR,AL,63,236,218,38,50,7,1,20,41,7,2,14,81,0.229,0.272,0.546,0.818,122,119,3,0,1,3,0
568,Austin Slater,30,SFG,NL,40,103,92,13,29,3,0,4,14,2,2,10,24,0.315,0.388,0.478,0.867,137,44,0,1,0,0,0
569,Dominic Smith,28,WSN,NL,94,378,342,37,92,12,1,5,25,0,0,29,57,0.269,0.336,0.354,0.69,95,121,10,6,0,1,0
570,Josh H. Smith,25,TEX,AL,54,134,110,21,23,4,0,3,6,1,0,14,37,0.209,0.341,0.327,0.668,86,36,2,8,2,0,0
571,Kevin Smith,26,OAK,AL,34,102,94,11,18,1,0,4,8,1,0,3,34,0.191,0.216,0.33,0.546,54,31,2,0,5,0,0
572,Pavin Smith,27,ARI,NL,61,217,184,26,35,5,0,7,30,1,1,32,43,0.19,0.31,0.332,0.642,78,61,2,0,0,0,0
573,Will Smith,28,LAD,NL,74,325,266,51,77,13,1,13,52,1,0,47,44,0.289,0.4,0.492,0.892,138,131,5,6,0,6,0
574,Canaan Smith-Njigba,24,PIT,NL,15,37,32,3,4,1,1,0,5,1,0,4,16,0.125,0.216,0.219,0.435,20,7,1,0,0,1,0
575,Tyler Soderstrom,21,OAK,AL,8,28,25,0,3,0,0,0,0,0,0,3,10,0.12,0.214,0.12,0.334,0,3,4,0,0,0,0
576,Nick Solak,28,TOT,MLB,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,Nick Solak,28,ATL,NL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Nick Solak,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Donovan Solano,35,MIN,AL,87,279,239,25,65,20,0,4,22,0,0,33,61,0.272,0.376,0.406,0.782,118,97,5,7,0,0,1
580,Jorge Soler,31,MIA,NL,96,405,351,54,86,19,0,24,54,1,0,46,97,0.245,0.338,0.504,0.843,128,177,13,5,0,3,2
581,Edmundo Sosa,27,PHI,NL,69,198,188,22,47,10,1,6,20,2,2,4,45,0.25,0.276,0.41,0.685,86,77,6,3,1,1,0
582,Lenyn Sosa,23,CHW,AL,22,70,68,4,9,3,0,1,3,0,0,1,16,0.132,0.145,0.221,0.366,-1,15,0,0,1,0,0
583,Juan Soto,24,SDP,NL,99,438,340,58,91,24,0,19,60,6,3,93,87,0.268,0.422,0.506,0.928,161,172,7,1,0,4,8
584,Livan Soto,23,LAA,AL,4,12,9,2,2,0,0,0,0,0,0,3,2,0.222,0.417,0.222,0.639,84,2,0,0,0,0,0
585,George Springer,33,TOR,AL,95,418,379,54,101,14,1,13,41,13,4,34,71,0.266,0.333,0.412,0.744,108,156,13,4,0,1,0
586,Jacob Stallings,33,MIA,NL,49,159,137,13,27,6,0,1,10,0,0,15,40,0.197,0.287,0.263,0.549,53,36,3,3,2,2,0
587,Ryne Stanek,31,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,Giancarlo Stanton,33,NYY,AL,49,199,180,22,36,7,0,13,33,0,0,17,47,0.2,0.276,0.456,0.732,99,82,4,2,0,0,3
589,Spencer Steer,25,CIN,NL,96,407,354,46,97,20,2,14,54,9,2,44,78,0.274,0.361,0.46,0.822,116,163,5,6,0,3,0
590,Michael Stefanic,27,LAA,AL,7,17,15,2,4,1,0,0,3,0,0,2,1,0.267,0.353,0.333,0.686,90,5,0,0,0,0,0
591,Tyler Stephenson,26,CIN,NL,93,365,323,44,80,14,1,7,37,0,1,37,97,0.248,0.332,0.362,0.694,85,117,9,4,0,1,1
592,Cal Stevenson,26,SFG,NL,6,12,9,1,0,0,0,0,0,0,0,3,2,0,0.25,0,0.25,-22,0,0,0,0,0,0
593,DJ Stewart,29,NYM,NL,9,17,13,2,3,0,0,1,2,1,0,3,4,0.231,0.353,0.462,0.814,125,6,0,0,0,1,0
594,Bryson Stott,25,PHI,NL,92,392,364,47,111,17,2,9,36,16,2,20,61,0.305,0.342,0.437,0.779,113,159,8,3,0,5,0
595,Kyle Stowers,25,BAL,AL,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,2,1,0,0,0,0
596,Myles Straw,28,CLE,AL,96,360,322,39,78,15,3,0,17,12,3,32,75,0.242,0.311,0.307,0.618,75,99,9,1,3,2,0
597,Garrett Stubbs,30,PHI,NL,22,60,53,6,12,1,1,0,4,0,0,4,17,0.226,0.305,0.283,0.588,64,15,0,2,1,0,0
598,Eugenio Suárez,31,SEA,AL,98,414,352,41,80,16,0,14,58,1,1,43,119,0.227,0.324,0.392,0.716,102,138,6,11,0,8,0
599,Brett Sullivan,29,SDP,NL,21,49,47,4,8,3,0,1,5,0,0,1,13,0.17,0.184,0.298,0.482,33,14,0,0,0,1,0
600,Brent Suter,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Jack Suwinski,24,PIT,NL,86,317,262,41,59,12,0,20,51,7,1,47,104,0.225,0.347,0.5,0.847,128,131,1,4,0,4,0
602,Seiya Suzuki,28,CHC,NL,80,340,299,34,79,14,2,8,33,3,5,35,87,0.264,0.341,0.405,0.746,101,121,6,2,0,4,1
603,Dansby Swanson,29,CHC,NL,84,372,329,42,86,16,2,10,37,4,1,40,85,0.261,0.347,0.413,0.76,105,136,5,3,0,0,0
604,Domingo Tapia,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,Raimel Tapia,29,TOT,MLB,59,158,139,24,32,4,1,3,13,8,2,15,39,0.23,0.308,0.338,0.646,75,47,2,1,1,1,0
606,Raimel Tapia,29,BOS,AL,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,89,32,1,0,0,0,0
607,Raimel Tapia,29,MIL,NL,20,61,52,10,9,0,0,2,3,2,1,6,20,0.173,0.267,0.288,0.555,53,15,1,1,1,1,0
608,Fernando Tatis Jr.,24,SDP,NL,79,365,331,57,95,23,1,17,50,15,3,28,71,0.287,0.346,0.517,0.863,139,171,9,3,1,2,0
609,Mike Tauchman,32,CHC,NL,50,194,163,32,42,9,0,4,30,3,1,26,40,0.258,0.363,0.387,0.749,104,63,0,2,1,2,0
610,Leody Taveras#,24,TEX,AL,84,326,303,45,86,16,2,11,43,10,3,20,66,0.284,0.329,0.459,0.788,114,139,2,1,1,1,0
611,Chris Taylor,32,LAD,NL,65,201,183,29,38,7,1,12,31,7,0,15,68,0.208,0.274,0.454,0.727,91,83,2,2,0,1,1
612,Michael A. Taylor,32,MIN,AL,90,264,244,30,54,13,0,11,29,11,1,14,90,0.221,0.271,0.41,0.681,86,100,6,3,2,1,0
613,Samad Taylor,24,KCR,AL,13,41,33,3,5,0,0,0,3,2,0,6,11,0.152,0.275,0.152,0.427,24,5,1,0,1,1,0
614,Tyrone Taylor,29,MIL,NL,31,88,85,6,13,3,0,1,4,5,0,2,22,0.153,0.17,0.224,0.394,7,19,5,0,0,1,0
615,Rowdy Tellez,28,MIL,NL,79,288,258,23,55,7,1,12,36,0,0,27,69,0.213,0.285,0.388,0.672,82,100,9,0,0,3,2
616,Matt Thaiss,28,LAA,AL,70,227,191,27,46,6,0,6,23,2,0,31,58,0.241,0.357,0.366,0.723,100,70,4,4,0,1,1
617,Alek Thomas,23,ARI,NL,65,207,196,29,46,12,2,6,17,5,1,9,47,0.235,0.271,0.408,0.679,84,80,4,1,0,1,0
618,Cody Thomas,28,OAK,AL,10,25,22,1,7,2,0,1,2,0,0,3,8,0.318,0.4,0.545,0.945,169,12,0,0,0,0,0
619,Lane Thomas,27,WSN,NL,96,421,389,65,113,25,2,16,53,8,2,24,109,0.29,0.337,0.488,0.826,129,190,3,5,0,3,0
620,Bubba Thompson,25,TEX,AL,36,60,53,10,9,4,1,0,4,4,2,4,16,0.17,0.237,0.283,0.52,43,15,0,1,1,1,0
621,Trayce Thompson,32,LAD,NL,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.31,0.366,0.677,81,26,0,1,0,0,0
622,Michael Toglia#,24,COL,NL,14,39,35,6,6,1,0,1,1,0,1,4,12,0.171,0.256,0.286,0.542,41,10,1,0,0,0,0
623,Justin Topa,32,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,Spencer Torkelson,23,DET,AL,96,413,367,48,83,21,1,14,52,2,0,39,100,0.226,0.303,0.403,0.706,96,148,7,3,0,4,1
625,Abraham Toro#,26,MIL,NL,5,9,8,1,4,0,0,1,5,0,0,0,3,0.5,0.556,0.875,1.431,284,7,0,1,0,0,0
626,Luis Torrens,27,CHC,NL,13,22,20,1,5,1,0,0,3,0,0,1,8,0.25,0.318,0.3,0.618,69,6,0,1,0,0,0
627,Gleyber Torres,26,NYY,AL,98,412,368,56,97,13,2,15,41,8,5,38,59,0.264,0.33,0.432,0.762,111,159,9,1,0,5,0
628,Ezequiel Tovar,21,COL,NL,91,348,331,44,85,21,3,9,46,4,3,13,94,0.257,0.29,0.42,0.71,81,139,4,3,0,1,0
629,Taylor Trammell,25,SEA,AL,20,54,45,6,6,0,0,3,11,0,1,8,21,0.133,0.278,0.333,0.611,73,15,2,1,0,0,0
630,Alan Trejo,27,COL,NL,47,133,126,13,30,9,0,1,15,4,0,5,31,0.238,0.265,0.333,0.598,54,42,2,0,1,1,0
631,Jose Trevino,30,NYY,AL,55,168,157,15,33,4,0,4,15,0,0,8,22,0.21,0.257,0.312,0.57,58,49,6,2,1,0,0
632,Jared Triolo,25,PIT,NL,19,76,69,9,20,2,0,0,9,0,1,5,25,0.29,0.342,0.319,0.661,83,22,0,1,0,1,0
633,Chadwick Tromp,28,ATL,NL,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-18,3,0,0,0,0,0
634,Mike Trout,31,LAA,AL,81,358,304,54,80,14,1,18,44,2,0,45,103,0.263,0.369,0.493,0.862,134,150,3,7,0,2,2
635,Kyle Tucker,26,HOU,AL,97,411,354,52,107,25,0,17,68,17,3,45,56,0.302,0.378,0.517,0.895,147,183,9,2,0,6,5
636,Brice Turang,23,MIL,NL,76,246,223,19,45,7,3,3,19,11,4,22,57,0.202,0.272,0.3,0.573,57,67,4,0,0,1,1
637,Justin Turner,38,BOS,AL,95,410,364,61,104,22,0,16,64,4,0,35,66,0.286,0.354,0.478,0.832,121,174,6,6,0,5,0
638,Trea Turner,30,PHI,NL,97,436,406,55,100,19,4,10,34,21,0,28,104,0.246,0.298,0.387,0.685,87,157,3,2,0,0,2
639,Luis Urías,26,MIL,NL,20,68,55,5,8,2,0,1,5,0,0,7,15,0.145,0.299,0.236,0.535,50,13,1,5,0,0,0
640,Ramón Urías,29,BAL,AL,69,248,223,30,57,19,0,4,33,3,1,18,63,0.256,0.327,0.395,0.721,102,88,7,6,0,1,0
641,Gio Urshela,31,LAA,AL,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,93,80,9,1,0,3,0
642,Enmanuel Valdez,24,BOS,AL,33,101,94,9,22,4,0,4,11,4,1,5,27,0.234,0.28,0.404,0.684,81,38,2,1,0,0,0
643,Ildemaro Vargas#,31,WSN,NL,35,106,100,15,27,6,1,2,13,0,0,5,5,0.27,0.305,0.41,0.715,99,41,6,0,1,0,0
644,Miguel Vargas,23,LAD,NL,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,80,94,1,4,1,4,1
645,Daulton Varsho,26,TOR,AL,97,374,341,40,73,13,0,12,32,12,3,27,88,0.214,0.275,0.358,0.633,77,122,3,3,0,3,0
646,Andrew Vaughn,25,CHW,AL,94,393,353,43,86,23,2,12,54,0,0,28,78,0.244,0.316,0.422,0.738,102,149,11,10,0,2,0
647,Terrin Vavra,26,BAL,AL,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.56,61,12,5,0,2,0,0
648,Christian Vázquez,32,MIN,AL,64,220,198,21,43,9,0,2,19,0,0,20,51,0.217,0.291,0.293,0.584,63,58,6,1,0,1,1
649,Andrew Velazquez#,28,LAA,AL,25,50,42,6,8,1,0,0,0,9,1,7,12,0.19,0.306,0.214,0.52,47,9,0,0,1,0,0
650,Nelson Velázquez,24,CHC,NL,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,144,18,1,0,0,0,0
651,Alex Verdugo,27,BOS,AL,90,397,354,57,97,27,4,7,39,4,2,35,55,0.274,0.348,0.432,0.78,108,153,6,6,0,2,1
652,Alex Vesia,27,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,Mark Vientos,23,NYM,NL,18,55,51,3,11,0,0,1,6,0,0,3,15,0.216,0.255,0.275,0.529,48,14,1,0,0,1,0
654,Matt Vierling,26,DET,AL,76,289,264,30,71,9,2,7,26,5,5,23,53,0.269,0.332,0.398,0.73,104,105,3,2,0,0,0
655,David Villar,26,SFG,NL,44,135,120,15,18,6,0,5,12,1,1,10,42,0.15,0.237,0.325,0.562,53,39,1,4,0,1,0
656,Meibrys Viloria,26,CLE,AL,10,4,3,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0.25,-20,0,1,0,0,0,0
657,Daniel Vogelbach,30,NYM,NL,69,211,182,21,41,7,0,6,28,0,0,29,51,0.225,0.332,0.363,0.694,94,66,5,0,0,0,1
658,Luke Voit,32,MIL,NL,22,74,68,5,15,3,0,0,4,2,0,4,27,0.221,0.284,0.265,0.548,52,18,3,2,0,0,0
659,Anthony Volpe,22,NYY,AL,99,370,334,43,70,11,3,13,34,17,2,32,109,0.21,0.282,0.377,0.659,82,126,9,2,1,1,0
660,Jason Vosler,29,CIN,NL,20,65,62,6,10,2,1,3,10,0,0,3,25,0.161,0.2,0.371,0.571,47,23,0,0,0,0,0
661,Joey Votto,39,CIN,NL,26,102,86,11,16,3,0,8,21,0,0,12,29,0.186,0.314,0.5,0.814,111,43,0,4,0,0,0
662,LaMonte Wade Jr.,29,SFG,NL,86,338,272,43,75,13,1,9,28,2,0,57,63,0.276,0.406,0.43,0.836,131,117,2,4,3,2,1
663,Tyler Wade,28,OAK,AL,26,55,51,8,13,1,1,0,2,4,0,4,13,0.255,0.309,0.314,0.623,80,16,0,0,0,0,0
664,Christian Walker,32,ARI,NL,95,405,357,52,93,29,0,20,63,7,0,40,74,0.261,0.337,0.51,0.846,130,182,9,3,0,4,2
665,Jordan Walker,21,STL,NL,59,235,215,24,60,9,0,9,28,4,4,15,54,0.279,0.34,0.447,0.787,114,96,6,5,0,0,0
666,Forrest Wall,27,ATL,NL,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,Chad Wallach,31,LAA,AL,44,117,105,14,21,2,0,6,12,0,1,11,42,0.2,0.276,0.39,0.666,80,41,4,0,1,0,0
668,Matt Wallner,25,MIN,AL,17,46,37,5,10,1,0,1,4,1,1,5,10,0.27,0.413,0.378,0.791,123,14,0,4,0,0,0
669,Taylor Walls#,26,TBR,AL,79,279,242,42,51,11,2,7,27,20,1,36,71,0.211,0.315,0.36,0.675,90,87,1,1,0,0,0
670,Jared Walsh,29,LAA,AL,28,78,67,5,8,4,0,1,5,0,0,11,26,0.119,0.244,0.224,0.467,30,15,1,0,0,0,0
671,Taylor Ward,29,LAA,AL,91,384,334,57,83,17,0,12,40,4,2,38,74,0.249,0.333,0.407,0.741,102,136,8,7,0,5,0
672,Drew Waters#,24,KCR,AL,46,157,146,19,35,4,2,4,15,5,3,7,56,0.24,0.287,0.377,0.663,82,55,2,3,0,1,0
673,Joey Wendle,33,MIA,NL,64,202,188,23,50,13,2,1,11,4,0,9,47,0.266,0.305,0.372,0.677,86,70,4,2,2,1,0
674,Jordan Westburg,24,BAL,AL,19,66,61,9,16,4,2,0,7,1,1,4,14,0.262,0.318,0.393,0.712,99,24,1,1,0,0,0
675,Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-12,1,0,1,0,0,0
676,Joey Wiemer,24,MIL,NL,96,322,285,39,59,15,0,12,33,11,3,31,90,0.207,0.292,0.386,0.678,84,110,3,4,0,2,0
677,Luke Williams,26,LAD,NL,4,10,10,0,1,0,0,0,0,1,0,0,3,0.1,0.1,0.1,0.2,-46,1,0,0,0,0,0
678,Jesse Winker,29,MIL,NL,60,196,165,16,32,5,0,1,23,0,0,26,51,0.194,0.316,0.242,0.559,57,40,0,4,0,1,0
679,Patrick Wisdom,31,CHC,NL,67,239,208,34,41,7,1,17,35,3,1,27,89,0.197,0.294,0.486,0.78,106,101,3,2,1,1,0
680,Brett Wisely,24,SFG,NL,47,121,110,10,20,5,0,2,7,2,1,9,36,0.182,0.242,0.282,0.523,44,31,1,0,1,1,0
681,Bobby Witt,23,KCR,AL,98,425,396,50,99,16,6,16,51,27,7,21,86,0.25,0.29,0.442,0.732,99,175,5,3,1,4,0
682,Connor Wong,27,BOS,AL,76,247,225,35,54,19,0,6,23,3,2,16,85,0.24,0.301,0.404,0.705,88,91,2,4,1,1,0
683,Kolten Wong,32,SEA,AL,60,196,175,18,28,6,0,1,16,1,1,15,43,0.16,0.24,0.211,0.451,30,37,0,4,0,2,0
684,Austin Wynns,32,TOT,NL,27,69,62,5,13,3,0,1,7,1,0,5,25,0.21,0.265,0.306,0.571,49,19,3,0,1,1,0
685,Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
686,Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,41,3,0,0,0,0,0
687,Austin Wynns,32,COL,NL,21,55,49,5,11,2,0,1,5,1,0,4,18,0.224,0.278,0.327,0.604,56,16,3,0,1,1,0
688,Mike Yastrzemski,32,SFG,NL,70,268,239,41,55,14,1,11,30,1,2,27,69,0.23,0.311,0.435,0.746,103,104,2,1,1,0,2
689,Christian Yelich,31,MIL,NL,95,410,360,71,103,23,2,14,54,21,2,47,87,0.286,0.373,0.478,0.851,132,172,8,3,0,0,3
690,Juan Yepez,25,STL,NL,20,46,42,5,9,1,0,2,2,0,1,3,13,0.214,0.283,0.381,0.664,80,16,0,1,0,0,0
691,Masataka Yoshida,29,BOS,AL,86,370,335,52,107,22,3,11,51,8,0,28,42,0.319,0.381,0.501,0.883,135,168,11,6,0,1,0
692,Alex Young,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,Jared Young,27,CHC,NL,13,39,35,7,6,0,2,1,5,2,0,3,11,0.171,0.256,0.371,0.628,67,13,1,1,0,0,0
694,Seby Zavala,29,CHW,AL,59,156,143,14,23,3,0,6,15,1,0,8,60,0.161,0.208,0.308,0.515,40,44,3,1,2,2,0
695,Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,63,38,3,1,0,0,0
