Average Per Season,YEAR,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,UBB,wOBP
League Average 2006,2006,41,29.2,4.86,162,6269,5578,787,1502,304,32,180,750,92,37,528,1055,0.269,0.337,0.432,0.768,97,2409,132,61,55,47,47,1157,481,0.333001287
League Average 2007,2007,43,29.1,4.8,162,6287,5593,777,1499,307,31,165,742,97,33,536,1073,0.268,0.336,0.423,0.758,97,2364,133,58,51,48,44,1167,492,0.329477145
League Average 2008,2008,43,28.8,4.65,162,6254,5557,753,1466,300,30,163,718,93,34,545,1096,0.264,0.333,0.416,0.749,97,2313,129,56,51,46,44,1166,501,0.326221792
League Average 2009,2009,42,28.9,4.61,162,6236,5528,747,1451,291,32,168,712,99,38,554,1120,0.262,0.333,0.418,0.751,97,2310,127,53,54,46,39,1161,515,0.327150946
League Average 2010,2010,42,28.9,4.38,162,6185,5512,710,1418,283,29,154,676,99,38,526,1144,0.257,0.325,0.403,0.728,97,2220,124,52,51,43,41,1144,485,0.317815099
League Average 2011,2011,43,28.7,4.28,162,6175,5524,694,1409,280,30,152,660,109,42,501,1150,0.255,0.321,0.399,0.72,97,2204,117,52,56,42,41,1128,460,0.313951626
League Average 2012,2012,43,28.5,4.32,162,6139,5508,701,1402,275,31,164,667,108,38,490,1214,0.255,0.319,0.405,0.724,97,2233,120,50,49,41,35,1103,455,0.315864674
League Average 2013,2013,43,28.5,4.17,162,6162,5536,675,1403,274,26,155,642,90,34,488,1224,0.253,0.318,0.396,0.714,97,2195,124,51,46,41,34,1122,454,0.312181164
League Average 2014,2014,44,28.5,4.07,162,6131,5520,659,1386,271,28,140,625,92,34,467,1248,0.251,0.314,0.386,0.7,97,2133,120,55,45,43,33,1111,434,0.306560394
League Average 2015,2015,45,28.4,4.25,162,6121,5516,688,1404,275,31,164,655,84,35,469,1248,0.254,0.317,0.405,0.721,97,2232,125,53,40,41,32,1092,437,0.314989307
League Average 2016,2016,45,28.4,4.48,162,6153,5519,725,1409,275,29,187,692,85,33,503,1299,0.255,0.322,0.417,0.739,97,2304,124,55,34,40,31,1097,472,0.322254373
League Average 2017,2017,45,28.3,4.65,162,6176,5519,753,1407,280,26,204,719,84,31,528,1337,0.255,0.324,0.426,0.75,97,2351,127,59,31,39,32,1098,496,0.32696013
League Average 2018,2018,46,28.1,4.45,162,6171,5514,721,1367,275,28,186,687,82,32,523,1374,0.248,0.318,0.409,0.728,97,2258,115,64,27,41,31,1101,492,0.317842722
League Average 2019,2019,47,27.9,4.83,162,6217,5555,782,1401,284,26,226,749,76,28,530,1427,0.252,0.323,0.435,0.758,97,2416,115,66,26,38,25,1093,505,0.33013734
League Average 2020,2020,43,28,4.65,60,2217,1968,278,481,94,8,77,266,30,10,203,520,0.245,0.322,0.418,0.74,100,822,41,27,4,13,7,399,196,0.324513795